a,p,y_emp,y_pred,type
0.9,0.6636363636363636,,8.107678012378927e-05,pred_curve
0.9,0.6727272727272727,,8.134365674926218e-05,pred_curve
0.9,0.6818181818181818,,8.160510936587626e-05,pred_curve
0.9,0.6909090909090908,,8.18613016667671e-05,pred_curve
0.9,0.7,,8.21123908238e-05,pred_curve
0.9,0.709090909090909,,8.235852780911369e-05,pred_curve
0.9,0.7181818181818181,,8.259985769782445e-05,pred_curve
0.9,0.7272727272727272,,8.283651995316641e-05,pred_curve
0.9,0.7363636363636363,,8.306864869524514e-05,pred_curve
0.9,0.7454545454545454,,8.32963729544932e-05,pred_curve
0.9,0.7545454545454545,,8.35198169108337e-05,pred_curve
0.9,0.7636363636363636,,8.373910011948344e-05,pred_curve
0.9,0.7727272727272727,,8.395433772425869e-05,pred_curve
0.9,0.7818181818181817,,8.416564065918235e-05,pred_curve
0.9,0.7909090909090909,,8.437311583913539e-05,pred_curve
0.9,0.7999999999999999,,8.457686634023979e-05,pred_curve
0.9,0.8090909090909091,,8.477699157061338e-05,pred_curve
0.9,0.8181818181818181,,8.497358743209024e-05,pred_curve
0.9,0.8272727272727273,,8.516674647345979e-05,pred_curve
0.9,0.8363636363636363,,8.535655803573889e-05,pred_curve
0.9,0.8454545454545453,,8.554310838995602e-05,pred_curve
0.9,0.8545454545454545,,8.572648086789405e-05,pred_curve
0.9,0.8636363636363635,,8.590675598620783e-05,pred_curve
0.9,0.8727272727272727,,8.608401156430504e-05,pred_curve
0.9,0.8818181818181817,,8.625832283635284e-05,pred_curve
0.9,0.8909090909090909,,8.642976255774897e-05,pred_curve
0.9,0.8999999999999999,,8.659840110637404e-05,pred_curve
0.9,0.9090909090909091,,8.676430657892084e-05,pred_curve
0.9,0.9181818181818181,,8.692754488257777e-05,pred_curve
0.9,0.9272727272727272,,8.70881798223257e-05,pred_curve
0.9,0.9363636363636363,,8.724627318409112e-05,pred_curve
0.9,0.9454545454545454,,8.740188481398356e-05,pred_curve
0.9,0.9545454545454545,,8.755507269382998e-05,pred_curve
0.9,0.9636363636363636,,8.770589301320759e-05,pred_curve
0.9,0.9727272727272727,,8.785440023816187e-05,pred_curve
0.9,0.9818181818181817,,8.800064717678719e-05,pred_curve
0.9,0.9909090909090909,,8.814468504183564e-05,pred_curve
0.9,1.0,,8.828656351050985e-05,pred_curve
1.1,0.1,3.615470379985245e-05,3.883504152647087e-05,observed
1.1,0.2,5.927896061220765e-05,6.025782215608636e-05,observed
1.1,0.3,7.420102570619462e-05,7.383437119393723e-05,observed
1.1,0.4,8.454038653276584e-05,8.320808020673517e-05,observed
1.1,0.5,9.08243511056709e-05,9.006895102629545e-05,observed
1.1,0.6,9.74067881129772e-05,9.530799207515067e-05,observed
1.1,0.7,0.0001008773458118,9.943949009950011e-05,observed
1.1,0.8,0.0001019575974054,0.00010278107618222229,observed
1.1,0.9,0.0001042426082533,0.00010553952174180248,observed
1.1,1.0,0.000105881349534,0.00010785522241670436,observed
1.1,0.1,,3.883504152647087e-05,pred_curve
1.1,0.1090909090909091,,4.1281073570125625e-05,pred_curve
1.1,0.1181818181818182,,4.360500913818265e-05,pred_curve
1.1,0.1272727272727273,,4.5815767499879346e-05,pred_curve
1.1,0.13636363636363635,,4.7921419827225424e-05,pred_curve
1.1,0.14545454545454545,,4.992928765708057e-05,pred_curve
1.1,0.15454545454545454,,5.1846027947060544e-05,pred_curve
1.1,0.16363636363636364,,5.367770680756651e-05,pred_curve
1.1,0.17272727272727273,,5.542986363062239e-05,pred_curve
1.1,0.18181818181818182,,5.710756704374092e-05,pred_curve
1.1,0.19090909090909092,,5.871546387933491e-05,pred_curve
1.1,0.2,,6.025782215608636e-05,pred_curve
1.1,0.2090909090909091,,6.173856890947417e-05,pred_curve
1.1,0.2181818181818182,,6.316132357750844e-05,pred_curve
1.1,0.22727272727272727,,6.452942753923639e-05,pred_curve
1.1,0.23636363636363636,,6.584597031350124e-05,pred_curve
1.1,0.24545454545454545,,6.711381285034604e-05,pred_curve
1.1,0.2545454545454545,,6.83356082846377e-05,pred_curve
1.1,0.26363636363636367,,6.951382046875377e-05,pred_curve
1.1,0.2727272727272727,,7.065074055675724e-05,pred_curve
1.1,0.28181818181818186,,7.174850187495263e-05,pred_curve
1.1,0.2909090909090909,,7.280909328190252e-05,pred_curve
1.1,0.3,,7.383437119393723e-05,pred_curve
1.1,0.3090909090909091,,7.4826070429129e-05,pred_curve
1.1,0.3181818181818182,,7.578581400298585e-05,pred_curve
1.1,0.32727272727272727,,7.671512199221573e-05,pred_curve
1.1,0.33636363636363636,,7.761541956838505e-05,pred_curve
1.1,0.34545454545454546,,7.848804429077416e-05,pred_curve
1.1,0.3545454545454545,,7.933425273692054e-05,pred_curve
1.1,0.36363636363636365,,8.015522653997701e-05,pred_curve
1.1,0.3727272727272727,,8.09520778938876e-05,pred_curve
1.1,0.38181818181818183,,8.17258545803184e-05,pred_curve
1.1,0.3909090909090909,,8.247754456512196e-05,pred_curve
1.1,0.4,,8.320808020673517e-05,pred_curve
1.1,0.40909090909090906,,8.391834211420442e-05,pred_curve
1.1,0.4181818181818182,,8.460916268840458e-05,pred_curve
1.1,0.42727272727272725,,8.528132937639247e-05,pred_curve
1.1,0.4363636363636364,,8.593558766564508e-05,pred_curve
1.1,0.44545454545454544,,8.657264384211964e-05,pred_curve
1.1,0.4545454545454546,,8.719316753358704e-05,pred_curve
1.1,0.4636363636363636,,8.779779405749281e-05,pred_curve
1.1,0.47272727272727266,,8.838712659065101e-05,pred_curve
1.1,0.4818181818181818,,8.89617381763478e-05,pred_curve
1.1,0.49090909090909085,,8.95221735828936e-05,pred_curve
1.1,0.5,,9.006895102629545e-05,pred_curve
1.1,0.509090909090909,,9.060256376849911e-05,pred_curve
1.1,0.5181818181818182,,9.112348160156261e-05,pred_curve
1.1,0.5272727272727272,,9.163215222714722e-05,pred_curve
1.1,0.5363636363636364,,9.212900253984007e-05,pred_curve
1.1,0.5454545454545454,,9.261443982203993e-05,pred_curve
1.1,0.5545454545454546,,9.308885285743592e-05,pred_curve
1.1,0.5636363636363636,,9.355261296947668e-05,pred_curve
1.1,0.5727272727272728,,9.400607499065994e-05,pred_curve
1.1,0.5818181818181818,,9.444957816796017e-05,pred_curve
1.1,0.5909090909090909,,9.488344700924957e-05,pred_curve
1.1,0.6,,9.530799207515067e-05,pred_curve
1.1,0.609090909090909,,9.572351072038148e-05,pred_curve
1.1,0.6181818181818182,,9.613028778831163e-05,pred_curve
1.1,0.6272727272727272,,9.652859626213933e-05,pred_curve
1.1,0.6363636363636364,,9.691869787581718e-05,pred_curve
1.1,0.6454545454545454,,9.730084368759985e-05,pred_curve
1.1,0.6545454545454545,,9.767527461885522e-05,pred_curve
1.1,0.6636363636363636,,9.804222196056811e-05,pred_curve
1.1,0.6727272727272727,,9.84019078497751e-05,pred_curve
1.1,0.6818181818181818,,9.875454571799187e-05,pred_curve
1.1,0.6909090909090908,,9.910034071353597e-05,pred_curve
1.1,0.7,,9.943949009950011e-05,pred_curve
1.1,0.709090909090909,,9.977218362899908e-05,pred_curve
1.1,0.7181818181818181,,0.00010009860389918943,pred_curve
1.1,0.7272727272727272,,0.00010041892668545029,pred_curve
1.1,0.7363636363636363,,0.0001007333212570098,pred_curve
1.1,0.7454545454545454,,0.00010104195067520875,pred_curve
1.1,0.7545454545454545,,0.00010134497207550483,pred_curve
1.1,0.7636363636363636,,0.00010164253693424282,pred_curve
1.1,0.7727272727272727,,0.0001019347913211422,pred_curve
1.1,0.7818181818181817,,0.00010222187613838592,pred_curve
1.1,0.7909090909090909,,0.00010250392734713344,pred_curve
1.1,0.7999999999999999,,0.0001027810761822223,pred_curve
