model,metric,time,mean,ci_low,ci_high
persistent 0.25,S1,125.0,1499.35,1491.6520820262026,1507.0479179737972
persistent 0.25,S1,126.0,1507.09,1499.3628140400924,1514.8171859599074
persistent 0.25,S1,127.0,1514.89,1507.0595139999893,1522.7204860000109
persistent 0.25,S1,128.0,1522.42,1514.5145351175483,1530.3254648824518
persistent 0.25,S1,129.0,1530.45,1522.5245241585674,1538.3754758414327
persistent 0.25,S1,130.0,1538.21,1530.2178783986158,1546.2021216013843
persistent 0.25,S1,131.0,1546.26,1538.1096892221117,1554.4103107778883
persistent 0.25,S1,132.0,1553.93,1545.709167271554,1562.1508327284462
persistent 0.25,S1,133.0,1561.68,1553.414088971388,1569.945911028612
persistent 0.25,S1,134.0,1569.46,1561.0798850774256,1577.8401149225745
persistent 0.25,S1,135.0,1577.31,1568.90781396997,1585.71218603003
persistent 0.25,S1,136.0,1585.57,1577.0350441835064,1594.1049558164934
persistent 0.25,S1,137.0,1593.31,1584.8299403910041,1601.7900596089958
persistent 0.25,S1,138.0,1600.88,1592.2789656383372,1609.481034361663
persistent 0.25,S1,139.0,1609.27,1600.671466531337,1617.868533468663
persistent 0.25,S1,140.0,1617.35,1608.735257149291,1625.9647428507087
persistent 0.25,S1,141.0,1625.44,1616.7674373003015,1634.1125626996986
persistent 0.25,S1,142.0,1633.93,1625.114763580429,1642.745236419571
persistent 0.25,S1,143.0,1642.33,1633.5022797469412,1651.1577202530586
persistent 0.25,S1,144.0,1650.53,1641.6755766743452,1659.3844233256548
persistent 0.25,S1,145.0,1658.99,1650.1397830695764,1667.8402169304236
persistent 0.75,S1,0.0,800.0,800.0,800.0
persistent 0.75,S1,1.0,804.28,803.8859463893316,804.6740536106684
persistent 0.75,S1,2.0,808.13,807.5929391908477,808.6670608091523
persistent 0.75,S1,3.0,812.34,811.6501389465035,813.0298610534966
persistent 0.75,S1,4.0,816.22,815.4476787019156,816.9923212980844
persistent 0.75,S1,5.0,820.37,819.5025147632613,821.2374852367387
persistent 0.75,S1,6.0,824.59,823.6769915030212,825.5030084969789
persistent 0.75,S1,7.0,828.68,827.6636976700515,829.6963023299484
persistent 0.75,S1,8.0,832.8,831.693709154723,833.9062908452769
persistent 0.75,S1,9.0,836.82,835.6435447345882,837.9964552654119
persistent 0.75,S1,10.0,841.2,839.8989879929746,842.5010120070255
persistent 0.75,S1,11.0,845.22,843.9489869046761,846.491013095324
persistent 0.75,S1,12.0,849.49,848.2126175128076,850.7673824871924
persistent 0.75,S1,13.0,853.73,852.4039205983826,855.0560794016175
persistent 0.75,S1,14.0,857.9,856.5184173034253,859.2815826965747
persistent 0.75,S1,15.0,861.8,860.3078284822501,863.2921715177498
persistent 0.75,S1,16.0,866.15,864.5841359244716,867.7158640755283
persistent 0.75,S1,17.0,870.38,868.7375974454748,872.0224025545252
persistent 0.75,S1,18.0,874.84,873.1139765587931,876.566023441207
persistent 0.75,S1,19.0,879.24,877.4835791102876,880.9964208897125
